density[kg.m-2], linear warp[SI*1e9], linear weft[SI*1e9], linear diag[SI*1e9], nonlinear warp[SI*1e12], nonlinear weft[SI*1e12], nonlinear diag[SI*1e12]
0.1184, 1337.3, 7502.4, 2602.8, -6014.2, -20275.8, -7822.8
0.2045, 19296.6, 9892.0, 6785.7, -92678.6, -15680.5, -33269.1
0.0774, 2082.3, 6893.7, 2337.0, -2242.7, -11458.1, -4636.9
0.1673, 1645.2, 2577.8, 7880.0, -4204.4, -8130.5, -3661.3
0.1834, 61211.1, 24116.1, 23803.5, -238336.9, -166025.9, -193927.8
0.2408, 33459.6, 15674.1, 34739.3, -153682.2, -50545.8, -183069.5
0.0762, 2626.7, 1374.4, 1589.5, -7064.4, -2625.2, -4482.1
0.2560, 4632.0, 6721.3, 4669.3, -13088.5, -6201.4, -8432.5
0.3637, 64683.6, 51807.1, 63743.3, -185009.4, -130042.8, -53826.9
0.0991, 1423.8, 1386.8, 2676.5, -1869.0, -4052.4, -3051.5
0.3082, 29748.9, 28047.6, 30606.6, -136693.1, -61189.8, -126579.3
0.2517, 139425.0, 31382.8, 37840.7, -468778.8, -187787.0, -127479.4
0.1815, 28711.5, 17779.7, 23238.4, -73678.6, -55966.8, -39744.7
0.6918, 144235.7, 37562.9, 37880.5, -223154.6, -211036.6, -41588.8
0.3083, 61292.2, 21913.8, 50076.5, -183350.0, -94084.5, -198666.8
0.3730, 18747.1, 16635.5, 26650.5, -133257.9, -24486.5, -29660.4
0.0214, 2734.1, 2043.6, 1675.9, -2186.6, -2908.6, -5493.4
0.1070, 11746.2, 4871.9, 11455.2, -30762.7, -8897.7, -16350.5
0.0780, 26622.0, 5753.8, 19907.3, -49828.3, -34198.6, -17343.8
0.3374, 188995.7, 37221.3, 44046.9, -261491.5, -75250.1, -266356.1
0.1673, 1645.2, 2577.8, 7880.0, -4204.4, -8130.5, -3661.3
0.0309, 1077.5, 1100.3, 1324.1, -1627.9, -2554.8, -1646.7
0.1146, 14585.2, 7914.9, 10284.3, -16917.0, -21242.4, -49054.2
0.1223, 9738.7, 5218.2, 12577.4, -47251.0, -25436.5, -50617.0
0.1485, 15412.5, 20651.5, 7275.0, -57746.9, -51207.7, -18724.1
0.1189, 22372.1, 3978.9, 9220.9, -37897.9, -18989.1, -37546.9
0.4318, 49520.8, 18133.7, 25305.6, -91721.1, -85673.3, -57748.9
0.2490, 49948.1, 10316.2, 27070.6, -107208.1, -50353.4, -157626.4
0.3975, 52268.4, 29570.3, 31643.2, -160618.6, -75549.3, -128356.6
0.3457, 12135.1, 8690.7, 8907.4, -20767.1, -8405.4, -14617.6
0.3696, 128692.7, 38578.6, 66444.6, -228633.9, -32160.4, -173221.9
0.4867, 75002.7, 32823.2, 27989.3, -349251.8, -225369.5, -133777.0
0.2408, 33459.6, 15674.1, 34739.3, -153682.2, -50545.8, -183069.5
0.1965, 3776.3, 5449.6, 4913.2, -9003.8, -11276.4, -6246.2
0.1851, 12690.7, 7750.5, 14272.7, -34542.1, -15813.2, -20321.5
0.6918, 144235.7, 37562.9, 37880.5, -223154.6, -211036.6, -41588.8
0.2961, 25541.7, 26021.5, 29478.8, -48741.0, -98923.4, -88853.0
0.0856, 8513.0, 4507.1, 4468.3, -45107.4, -13151.0, -10317.9
0.0510, 7961.4, 1872.1, 7762.0, -10206.0, -4899.9, -9592.0
0.0500, 1752.7, 4437.2, 459.9, -2333.5, -2354.0, -1226.2
0.1973, 14344.0, 14201.4, 21877.9, -50551.2, -21862.4, -57667.6
0.0235, 2360.0, 765.6, 752.6, -3501.2, -540.9, -4144.2
0.0604, 33479.0, 4057.1, 10634.9, -113052.8, -31447.7, -101178.0
0.2459, 14585.0, 10765.0, 13181.0, -26836.6, -66604.8, -35818.1
0.2023, 14501.9, 10176.5, 17466.7, -26843.8, -35285.0, -27435.6
0.3816, 23958.8, 19431.9, 45459.5, -66085.6, -62023.0, -121303.6
0.1825, 1769.9, 6161.8, 1453.8, -1224.0, -4361.5, -2251.4
0.7584, 265725.4, 63180.2, 88806.0, -738410.0, -670780.3, -113173.4
0.2899, 63822.6, 32464.7, 32585.0, -233001.1, -99514.4, -124020.0
0.1189, 22372.1, 3978.9, 9220.9, -37897.9, -18989.1, -37546.9
0.2956, 3891.9, 11280.6, 7455.0, -22990.2, -14067.7, -19623.3
0.0602, 4493.3, 17166.8, 9693.1, -34139.2, -22219.7, -16867.3
0.0500, 2619.2, 2647.8, 1767.3, -6619.9, -6756.6, -3292.8
0.2422, 37231.1, 9990.1, 22694.5, -92159.1, -34291.4, -40131.8
0.0839, 3450.7, 2976.5, 1831.7, -16945.7, -4047.3, -5074.9
0.2764, 10164.9, 8474.8, 7635.4, -22039.4, -23776.3, -28830.6
0.3730, 18747.1, 16635.5, 26650.5, -133257.9, -24486.5, -29660.4
0.1223, 9738.7, 5218.2, 12577.4, -47251.0, -25436.5, -50617.0
0.4991, 39005.8, 47869.1, 40229.8, -103113.4, -27834.4, -73371.6
0.2035, 24606.4, 15244.5, 33610.2, -96121.2, -65507.9, -143267.8
0.1965, 61647.3, 16466.5, 20939.0, -175911.8, -41979.8, -122768.1
0.1184, 1337.3, 7502.4, 2602.8, -6014.2, -20275.8, -7822.8
0.1706, 16881.2, 7334.2, 5667.3, -19836.1, -23166.0, -15104.8
0.2309, 24100.4, 57904.3, 21758.4, -109885.4, -162728.6, -16596.0
0.1506, 32773.6, 16832.7, 23423.4, -89295.4, -75146.4, -32021.4
0.3111, 60665.3, 42846.9, 27827.3, -201151.5, -159251.2, -105744.9
0.3696, 128692.7, 38578.6, 66444.6, -228633.9, -32160.4, -173221.9
0.2120, 5358.2, 2080.7, 5400.9, -30678.9, -5392.7, -8483.2
0.3781, 40816.3, 44799.8, 23418.1, -109402.4, -109458.9, -65909.5
0.1070, 11746.2, 4871.9, 11455.2, -30762.7, -8897.7, -16350.5
0.1893, 53512.5, 53947.7, 68535.8, -246326.4, -128689.0, -87757.9
0.0753, 578.3, 538.5, 544.3, -453.4, -739.1, -862.5
0.2120, 5358.2, 2080.7, 5400.9, -30678.9, -5392.7, -8483.2
0.5437, 183409.8, 61015.7, 85563.8, -539048.5, -240794.5, -332954.9
0.0997, 14132.3, 6854.4, 5844.2, -63402.9, -9733.9, -22694.4
0.0910, 5984.0, 4038.4, 2907.4, -11136.8, -16078.9, -17442.7
0.2459, 14585.0, 10765.0, 13181.0, -26836.6, -66604.8, -35818.1
0.2453, 36137.0, 16337.1, 29671.1, -99796.4, -24800.4, -79197.2
0.4404, 108553.5, 24849.1, 53827.2, -266849.4, -209415.4, -116530.7
0.1848, 79902.4, 30687.1, 58484.6, -499830.3, -129672.9, -333795.9
0.1403, 13065.0, 8984.8, 6488.6, -18953.8, -39444.5, -24717.1
0.3987, 17878.7, 13830.4, 20846.5, -38166.0, -26551.3, -31301.1
0.2422, 37231.1, 9990.1, 22694.5, -92159.1, -34291.4, -40131.8
0.0224, 866.3, 1141.2, 1529.6, -1545.2, -922.2, -2837.1
0.0915, 2401.4, 3179.7, 2312.9, -7963.1, -6061.5, -2951.8
0.2776, 68681.4, 46805.6, 34174.3, -264725.3, -145916.0, -118250.1
0.4239, 24854.6, 15125.6, 17842.7, -22852.9, -40001.1, -33736.6
0.1404, 19054.9, 25972.9, 20097.0, -56736.1, -63569.5, -76881.6
